datetime,open,high,low,close,volume,diff,return,vol
2022-04-20 10:00:00,41538.88671875,41822.7421875,41477.546875,41795.54296875,1051004928,259.9140625,0.0062576171191881524,0.0024230953227940928
2022-04-20 11:00:00,41801.34375,42111.625,41745.74609375,42074.328125,1193687040,278.78515625,0.006670212574064305,0.0029774829040569613
2022-04-20 12:00:00,42081.9765625,42126.30078125,41991.01171875,42119.33984375,257742848,45.01171875,0.0010698143204157518,0.002932306623067702
2022-04-20 13:00:00,42117.8359375,42118.37109375,41583.46484375,41583.46484375,0,-535.875,-0.01272277775454067,0.00547133927973288
2022-04-20 14:00:00,41594.03125,41711.890625,41571.23046875,41581.796875,0,-1.66796875,-4.011134609072098e-05,0.00543460356286503
2022-04-20 15:00:00,41577.87890625,41577.87890625,41141.40234375,41273.13671875,503300096,-308.66015625,-0.007422963398572513,0.005914698616193702
2022-04-20 16:00:00,41267.56640625,41379.1875,41092.66796875,41370.9375,0,97.80078125,0.0023695989455914113,0.005979122514440973
2022-04-20 17:00:00,41372.07421875,41419.08984375,41325.71484375,41339.578125,56614912,-31.359375,-0.0007580049400620625,0.00594766850857031
2022-04-20 18:00:00,41346.296875,41366.3984375,40961.09765625,40961.09765625,361629696,-378.48046875,-0.009155402302499893,0.006486804912931048
2022-04-20 19:00:00,40969.359375,41243.125,40969.359375,41205.27734375,464564224,244.1796875,0.005961258400572822,0.00684165488354555
2022-04-20 20:00:00,41193.89453125,41405.28125,41166.78515625,41405.28125,267108352,200.00390625,0.004853842011097065,0.0066940889868541565
2022-04-20 21:00:00,41406.3203125,41571.66015625,41395.58203125,41493.87890625,288110592,88.59765625,0.0021397670436063,0.006262932176028241
2022-04-20 22:00:00,41494.60546875,41564.2890625,41477.26171875,41494.30078125,227897344,0.421875,1.0167162268759355e-05,0.006225910928803109
2022-04-20 23:00:00,41494.6953125,41494.6953125,41356.1015625,41377.84375,5011456,-116.45703125,-0.002806578953190253,0.00487982476331269
2022-04-21 00:00:00,41371.515625,41544.71875,41360.6015625,41539.38671875,179826688,161.54296875,0.003904093449770496,0.0050752504829900185
2022-04-21 01:00:00,41542.390625,41717.1875,41495.18359375,41671.0,469258240,131.61328125,0.0031683973126785947,0.004440464946042415
2022-04-21 02:00:00,41672.171875,41703.25,41598.89453125,41639.07421875,0,-31.92578125,-0.0007661390715365535,0.004441264966428692
2022-04-21 03:00:00,41639.94140625,41688.98828125,41605.75390625,41688.98828125,208035840,49.9140625,0.0011987313223578155,0.0044151147172486116
2022-04-21 04:00:00,41688.48046875,41729.20703125,41567.28515625,41610.90625,186984448,-78.08203125,-0.0018729653673346114,0.002933150895004839
2022-04-21 05:00:00,41612.5625,41669.98046875,41472.7734375,41476.47265625,238114816,-134.43359375,-0.0032307297741202,0.0028462737566156146
