peak_day,peak_frequency,peak_price,valley_day,valley_price,drop_percent,duration
2014-11-12,0.6927272727272727,423.5610046386719,2015-01-14,178.10299682617188,0.5795104013928133,63
2015-01-26,0.5072727272727273,273.4729919433594,2015-02-05,217.11099243164062,0.20609713270476165,10
2015-03-11,1.0,296.3789978027344,2015-04-14,219.15899658203125,0.26054478148988025,34
2015-05-08,0.5872727272727273,243.86300659179688,2015-06-07,222.88099670410156,0.08604015090659967,30
2015-07-12,0.9963636363636363,310.86700439453125,2015-08-24,210.4949951171875,0.3228776546190101,43
2015-11-04,0.5381818181818182,411.56298828125,2015-11-11,311.0840148925781,0.24413996459761222,7
2015-12-15,0.9927272727272727,465.3210144042969,2016-01-15,364.33099365234375,0.2170330108156417,31
2016-02-21,0.7218181818181818,438.7980041503906,2016-03-05,400.57000732421875,0.08711980561577456,13
2016-04-26,0.6618181818181819,466.0889892578125,2016-05-19,438.7149963378906,0.05873125851677269,23
2016-06-16,1.0,766.3079833984375,2016-08-02,547.4650268554688,0.28558094302037645,47
2016-09-08,0.5018181818181818,626.3159790039062,2016-09-22,596.2979736328125,0.04792789323183871,14
2017-01-04,0.7945454545454546,1154.72998046875,2017-01-11,777.7570190429688,0.3264598371930667,7
2017-03-03,0.84,1274.989990234375,2017-03-24,937.52001953125,0.26468440794667697,21
2017-06-11,0.9818181818181818,2958.110107421875,2017-07-16,1929.8199462890625,0.3476172704162839,35
2017-09-01,0.7945454545454546,4892.009765625,2017-09-14,3154.949951171875,0.3550810193918735,13
2017-12-16,1.0,19497.400390625,2018-02-05,6955.27001953125,0.6432719295811571,51
2018-03-05,0.8,11573.2998046875,2018-04-06,6636.31982421875,0.4265836074227628,32
2018-05-05,0.8072727272727273,9858.150390625,2018-06-28,5903.43994140625,0.4011615052028055,54
2018-07-24,0.9763636363636363,8424.26953125,2018-08-10,6184.7099609375,0.26584614393032036,17
2018-09-04,0.5981818181818181,7361.66015625,2018-09-08,6225.97998046875,0.1542695739380288,4
2018-11-07,0.6327272727272727,6530.14013671875,2018-12-15,3236.76171875,0.5043350294199964,38
